CO,HC,Temp,Hum,CO2,TVOC,DD
163,42,33.8,49,520,18,21
162,37,33.8,49,637,36,9
173,47,33.7,50,679,42,3
168,37,33.3,51,539,21,0
168,37,33.3,52,697,45,0
170,40,33.3,52,717,48,20
171,40,33.3,53,730,50,4
171,42,33.3,53,570,25,6
167,38,33.3,53,692,44,3
172,40,33.3,53,699,45,0
172,40,33.3,53,714,47,4
168,39,33.3,52,615,32,0
168,39,33.3,52,702,46,0
166,42,33.3,52,668,40,4
167,39,33.3,51,612,32,0
167,42,33.3,50,600,30,3
170,43,33.3,50,581,27,5
178,44,33.3,50,546,22,14
163,42,33.3,49,520,18,19
161,37,33.8,45,502,15,0
163,44,33.8,44,501,15,4
156,35,33.8,43,519,18,0
156,35,33.8,42,534,20,0
154,38,33.8,41,501,15,0
150,38,34.2,40,534,20,1
154,40,34.2,39,542,21,0
153,42,34.2,39,551,23,6
151,38,34.2,39,526,19,0
151,38,33.8,40,650,38,0
156,40,33.8,41,679,42,0
149,37,33.8,41,710,47,1
156,36,33.8,42,656,39,0
157,43,33.8,41,704,46,0
154,35,33.8,42,726,49,0
159,45,33.8,43,752,53,7
157,38,33.4,44,591,29,134
158,38,33.3,45,810,62,0
159,39,33.3,45,830,65,0
164,40,33.3,45,817,63,136
163,43,33.3,46,851,68,0
161,38,33.3,46,868,71,0
159,38,33.3,46,857,69,0
162,38,33.3,46,874,72,0
162,38,33.3,47,877,72,0
165,42,33.3,47,882,73,0
168,40,33.3,47,897,75,120
163,38,33.3,48,895,75,0
167,43,33.3,48,900,76,0
163,35,33.3,48,885,73,0
167,43,33.3,48,885,73,1
163,38,33.3,48,857,69,5
163,38,33.3,47,855,69,0
163,38,33.3,47,870,71,0
164,40,33.3,48,874,72,0
167,42,33.3,48,865,70,5
164,38,33.3,48,840,67,7
163,38,33.3,47,815,63,0
163,35,33.3,46,795,60,0
167,40,33.2,46,785,58,0
169,40,33.2,46,778,57,4
167,42,33.2,46,686,43,28
165,42,33.1,46,772,56,3
172,48,33.2,46,770,56,48
163,38,33.3,46,659,39,0
166,42,33.3,45,706,46,3
163,38,33.3,45,714,47,0
161,35,33.2,45,697,45,0
164,43,33.1,45,732,50,0
167,40,32.9,46,717,48,4
160,37,32.9,46,702,46,1
159,38,33.2,45,699,45,0
170,44,32.9,46,624,34,0
170,42,32.9,46,704,46,0
164,39,32.9,47,688,43,61
168,39,33.2,45,666,40,106
162,38,33.3,45,646,37,79
159,38,33.3,45,652,38,0
160,37,33.3,45,650,38,64
159,38,33.3,45,519,18,0
159,38,33.3,45,638,36,0
159,38,33.3,45,624,34,0
159,38,33.3,44,620,33,0
159,38,33.3,44,612,32,0
159,38,33.3,44,605,31,0
160,38,33.3,44,624,34,0
159,39,33.3,44,634,35,0
159,38,33.3,45,650,38,0
164,40,33.3,45,730,50,0
162,42,33.3,45,682,42,2
163,38,33.3,45,776,57,21
168,40,33.2,46,780,57,4
170,40,33.3,46,742,52,0
165,41,33.3,46,793,59,0
166,37,33.2,46,800,60,7
166,42,33.2,46,776,57,3
166,42,33.2,46,793,59,0
170,40,33.2,46,798,60,0
167,38,33.3,46,778,57,0
165,35,33.2,46,785,58,0
167,38,33.2,46,808,62,0
165,35,33.3,46,785,58,1
165,38,33.3,46,754,53,20
170,41,33.3,46,754,53,83
168,37,33.3,46,770,56,0
167,39,33.3,46,746,52,0
167,38,33.3,46,737,51,0
168,38,33.3,46,726,49,0
172,40,33.3,46,638,36,0
169,38,33.3,46,714,47,0
169,38,33.3,46,715,47,0
170,43,33.3,46,675,41,3
167,38,33.3,46,666,40,29
167,38,33.3,45,646,37,0
171,40,33.3,44,596,29,6
171,40,33.3,44,599,30,16
168,42,33.3,44,589,28,5
173,47,33.3,44,597,30,91
172,40,33.3,44,594,29,0
167,39,33.3,44,597,30,0
167,38,33.3,44,569,25,0
162,35,33.3,43,552,23,0
165,39,33.3,43,561,24,0
167,43,33.3,43,549,22,4
164,38,33.3,43,548,22,1
163,38,33.3,43,545,22,0
164,37,33.3,43,537,20,0
164,37,33.3,43,540,21,0
168,37,33.3,43,539,21,8
164,41,33.3,43,548,22,3
165,41,33.3,43,546,22,0
167,38,33.3,43,533,20,0
171,47,33.3,43,543,21,233
165,38,33.3,43,539,21,0
172,41,33.3,43,514,17,0
169,43,33.3,42,537,20,4
165,42,33.3,42,527,19,2
